Title,Category,Categories,Authors,Price in NIS,Year,Synopsis,Synopsis length,Price in USD,StarRating,NumberOfReviews,Language,Format,Dimensions,Dimensions unit,Weight,Weight unit,ISBN,num_authors,is_expensive
Never Finished: Unshackle Your Mind and win the war Within - David Goggins,"MemoirsExercise and physical training booksSelf-assertion, motivation, self-esteem and positive mental attitude","Biographies Literature Literay Studies, Biographies, Memories",David Goggins,97.55,,"Over 1 million copies soldThis is not a self-help book. It's a wake-up call!Can't Hurt Me, David Goggins' smash hit memoir, demonstrated how much untapped ability we all have but was merely an introduction to the power of the mind. In Never Finished, Goggins takes you inside his Mental Lab, where he developed the philosophy, psychology, and strategies that enabled him to learn that what he thought was his limit was only his beginning and that the quest for greatness is unending. The stories and lessons in this raw, revealing, unflinching memoir offer the reader a blueprint they can use to climb from the bottom of the barrel into a whole new stratosphere that once seemed unattainable. Whether you feel off-course in life, are looking to maximize your potential or drain your soul to break through your so-called glass ceiling, this is the only book you will ever need.",876,32.41,,0,English,Paperback,"22.9, 15.2, 1.8",cm,0.46,kg,9781544534077,1,True
Nobody's Girl: A Memoir of Surviving Abuse and Fighting for Justice - Virginia Roberts Giuffre,Memoirs,"Biographies Literature Literay Studies, Biographies, Memories",Virginia Roberts Giuffre,93.86,2025.0,"The unforgettable memoir by the late Virginia Roberts Giuffre, the woman who dared to take on Jeffrey Epstein and Ghislaine MaxwellThe world knows Virginia Roberts Giuffre as Jeffrey Epstein and Ghislaine Maxwell’s most outspoken victim: the woman whose decision to speak out helped send both serial abusers to prison, whose photograph with Prince Andrew catalyzed his fall from grace. But her story has never been told in full, in her own words—until now.In April 2025, Giuffre took her own life. She left behind a memoir written in the years preceding her death and stated unequivocally that she wanted it published. Nobody’s Girl is the riveting and powerful story of an ordinary girl who would grow up to confront extraordinary adversity.Here, Giuffre offers an unsparing and definitive account of her time with Epstein and Maxwell, who trafficked her and others to numerous prominent men. She also details the molestation she suffered as a child, as well as her daring escape from Epstein and Maxwell’s grasp at nineteen. Giuffre remade her life from scratch and summoned the courage to not only hold her abusers to account but also advocate for other victims. The pages of Nobody’s Girl preserve her voice—and her legacy—forever.Nobody’s Girl is an astonishing affirmation of Giuffre’s unshakable will—first, to claw her way out of victimhood, and then to shine light on wrongdoing and fight for a safer, fairer world. Equal parts intimate and fierce, it is a remarkable narrative of fortitude in the face of depravity and despair.",1537,31.19,,0,English,Hardcover,"16, 24",cm,0.64,kg,9780593493120,1,True
"not fade away,a short life well lived - Shames, Laurence ; Barton, Peter","Biography: arts and entertainmentBiography: science, technology and medicineMemoirs","Biographies Literature Literay Studies, Biographies, General, Art Show",Laurence ShamesPeter Barton,64.08,,"Some people are born to lead and destined to teach by the example of living life to the fullest, and facing death with uncommon honesty and courage. Peter Barton was that kind of person.Driven by the ideals that sparked a generation, he became an overachieving Everyman, a risk-taker who showed others what was possible. Then, in the prime of his life--hugely successful, happily married, and the father of three children--Peter faced the greatest of all challenges. Diagnosed with cancer, he began a journey that was not only frightening and appalling but also full of wonder and discovery.With unflinching candor and even surprising humor, Not Fade Away finds meaning and solace in Peter's confrontation with mortality. Celebrating life as it dares to stare down death, Peter's story addresses universal hopes and fears, and redefines the quietly heroic tasks of seeking clarity in the midst of pain, of breaking through to personal faith, and of achieving peace after bold and sincere questioning.",1000,21.29,,0,English,Paperback,"19.9, 13.5, 1.3",cm,0.18,kg,9780060737313,1,False
"One Nation Under Blackmail. Vol. 1  - Webb, Whitney Alyse","True crimeSex and sexuality, social aspectsOrganised crimeEspionage and secret services","Biographies Literature Literay Studies, Biographies, Real Stories, Crimes",Whitney Alyse Webb,86.21,2015.0,"One Nation Under Blackmail is a damning indictment of the consequences resulting from the nearly century old relationship between both US and Israeli intelligence and the organized criminal network known as the National Crime Syndicate. This book specifically explores how that nexus between intelligence and organized crime directly developed the sexual blackmail tactics and networks that would later enable the sexual blackmail operation and other crimes of deceased pedophile and sex trafficker Jeffrey Epstein. Other books on Jeffrey Epstein focus on the depraved nature of his crimes, his wealth, and his most famous/politically-connected friends and acquaintances. This book, in contrast, reveals the extent to which Epstein's activities were state-sponsored through an exploration of his intelligence connections.",821,28.65,4.5,2,English,Paperback,"22.6, 15.0, 3.0",cm,0.61,kg,9781634243018,1,True
"Remember the Time: Protecting Michael Jackson in his Final Days  - Whitfield, Bill ; Beard, Javon ; Colby, Tanner","Composers and songwritersMusicians, singers, bands and groupsBiography: arts and entertainmentMemoirs","Arts, Music, Composers",Bill WhitfieldJavon Beard,134.76,,"A compellingly candid memoir that details Jackson's life in seclusion, by the bodyguards who were with him in his final days - with a new introduction to commemorate the tenth anniversary of Michael Jackson's death .  Hounded by the tabloid media, driven from his self-made sanctuary, Neverland, Michael Jackson spent his final years moving from city to city, living with his three children in virtual seclusion -- a futile attempt to escape a world that wouldn't leave him alone. During that time, two men served as the singer's personal security team: Bill Whitfield, a former cop and veteran of the security profession, and Javon Beard, a brash, untested rookie, both single fathers themselves.  Stationed at his side nearly 24/7, their job was to see and hear everything that transpired, and to keep everyone else out, making them the only two men who know what 60 million fans around the world still want to know: What really happened to the King of Pop?  Driven by a desire to show the world who Michael Jackson truly was, Whitfield and Beard have produced the only definitive, first-person account of Michael Jackson's last years: the extreme measures necessary to protect Jackson and his family, the financial struggles that led their pay to be suspended for weeks at a time, the simple moments of happiness they managed to share in a time of great stress, the special relationship Jackson shared with his fans, and the tragic events that culminated in the singer's ill-fated comeback, This Is It. The truth is far more captivating than anything you've yet heard.  An indispensable piece of pop-culture history, Remember the Time is the story of a man struggling to live a normal life under extraordinary circumstances, of a father fighting to protect and provide for his children. Remember the Time is the book that dismantles the tabloid myths once and for all to give Michael Jackson back his humanity.",1913,44.78,,0,English,Hardcover,"23.1, 15.0, 3.3",cm,0.54,kg,9781602862500,1,True
Romeo and Juliet (No Fear Shakespeare) Side-By-Side Plain English - Sparknotes,"ShakespeareClassical and pre-20th century playsLiterary studies: plays and playwrightsLiterature handbooks, reviews and book guides","Interest Qualifiers, Social Culture, Cultural Interests, Shakespeare",Sparknotes,37.23,2003.0,"Read Shakespeare's plays in all their brilliance--and understand what every word means!  Don't be intimidated by Shakespeare! These popular guides make the Bard's plays accessible and enjoyable. Each No Fear guide contains: The complete text of the original playA line-by-line translation that puts the words into everyday languageA complete list of characters, with descriptionsPlenty of helpful commentary",407,12.37,,0,English,Paperback,"18.8, 13.2, 2.0",cm,0.3,kg,9781586638450,1,False
"""Surely You're Joking, mr. Feynman! ""S Adventures of a Curious Character  - Bill Gates","Biography: science, technology and medicinePhysics","Biographies Literature Literay Studies, Biographies, General, Science Technology Medicine",Richard P. Feynman,51.25,2018.0,"Richard P. Feynman, winner of the Nobel Prize in physics, thrived on outrageous adventures. In this lively work that ""can shatter the stereotype of the stuffy scientist"" (Detroit Free Press), Feynman recounts his experiences trading ideas on atomic physics with Einstein and cracking the uncrackable safes guarding the most deeply held nuclear secrets--and much more of an eyebrow-raising nature. In his stories, Feynman's life shines through in all its eccentric glory--a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.Included for this edition is a new introduction by Bill Gates.",618,17.03,,0,English,Paperback,"20.8, 13.7, 2.8",cm,0.32,kg,9780393355628,1,False
The Billionaire who Wasn't: How Chuck Feeney Secretly Made and Gave Away a Fortune  - Conor O'Clery,Biography: business and industry,"Biographies Literature Literay Studies, Biographies, General, Business Industry",Conor O'Clery,100.01,2013.0,"The astonishing life of the modest New Jersey businessman who anonymously gave away 10 billion dollars and inspired the giving while living movement. In this bestselling book, Conor O'Clery reveals the inspiring life story of Chuck Feeney, known as the James Bond of philanthropy. Feeney was born in Elizabeth, New Jersey, to a blue-collar Irish-American family during the Depression. After service in the Korean War, he made a fortune as founder of Duty Free Shoppers, the world's largest duty-free retail chain. By 1988, he was hailed by Forbes Magazine as the twenty-fourth richest American alive. But secretly Feeney had already transferred all his wealth to his foundation, Atlantic Philanthropies. Only in 1997 when he sold his duty free interests, was he outed as one of the greatest and most mysterious American philanthropists in modern times, who had anonymously funded hospitals and universities from San Francisco to Limerick to New York to Brisbane. His example convinced Bill Gates and Warren Buffett to give away their fortunes during their lifetime, known as the giving pledge.",1093,33.23,,0,English,Paperback,"20.8, 14.0, 2.8",cm,0.43,kg,9781610393348,1,True
The Diary of a Young Girl - Anne Frank,EuropeMemoirsEuropean history,"Place Qualifiers, Europe",Anne Frank,35.44,2014.0,"Anne Frank's diary needs no introduction. This beautifully written memoir of a young girl caught in the middle of one of the most horrific periods of human history, is a testament to the indestructible human will to persevere and survive in the face of the most adverse of circumstances. Where Anne Frank herself became one of the victims of the Second World War, her words, crowding every available inch of space in her diary, survived to keep her story and her memory alive for the rest of the world through the ages ....",523,11.78,,0,English,Paperback,,,,,9788172345198,1,False
The Essential Rumi: New Expanded Edition  - Coleman Barks,"Middle eastMedieval styleAncient, classical and medieval textsClassical and pre-20th century poetry","Place Qualifiers, Asia, Near East",Coleman Barks,68.13,2004.0,"This revised and expanded edition of The Essential Rumi includes a new introduction by Coleman Barks and more than 80 never-before-published poems of Rumi.Through his lyrical translations, Coleman Barks has been instrumental in bringing this exquisite literature to a remarkably wide range of readers, making the ecstatic, spiritual poetry of thirteenth-century Sufi Mystic Rumi more popular than ever. The Essential Rumi continues to be the bestselling of all Rumi books, and the definitive selection of his beautiful, mystical poetry.",536,22.64,,0,English,Paperback,"20.4, 13.4, 2.7",cm,0.44,kg,9780062509598,1,True
"The House with All the Lights on: Three Generations, One Roof, a Language of Light - Kirkness, Jessica","Related to people with disabilities or similar conditions, whether visible or notBiography: generalMemoirsDisability: social aspects","Interest Qualifiers, Social Culture, Physical Disability",Jessica Kirkness,69.9,,"The House With All The Lights On is a lyrical exploration of family, identity and history, and what it is to be a member of a family where the most beautiful of bonds are born in difference 'If I were to tell you our story in sign language-the story of my grandparents and me-I'd begin with a single finger touching my chest.'  Jessica Kirkness has traversed the boundary between deaf and hearing cultures all her life. Her memoir tells the story of her grandparents who grew up deaf in a hearing world--one where sign language was banned for much of the twentieth century--and weaves in her own experience as a hearing child in a family that often struggled to navigate their elders' difference.  This journey takes her from the family home to the workplaces of research audiologists, and back to England where she visits her grandparents' old schools and other family landmarks--discovering along the way how terribly their deafness has been misunderstood. The House With All The Lights On captures the universal experience of navigating complex family relationships and beautifully explores the nuances of identity in what is both a memoir and a love letter to those closest to her heart.  'A sensory window into Deaf gain and other complexities of our community.' - Asphyxia, author of The Words in My Hands  'An elegant and empathic love letter to family.' Fiona Murphy, author of The Shape of Sound",1404,23.23,5.0,1,English,Paperback,,,,,9781761069079,1,True
The Myth of Sisyphus (Vintage International)  - Albert Camus,Literary essaysEthics and moral philosophy,"Biographies Literature Literay Studies, Biographies, Literary Essays
",Albert Camus,51.71,2018.0,"A Nobel Prize-winning author delivers one of the most influential works of the twentieth century, showing a way out of despair and reaffirming the value of existence.Influenced by works such as Don Juan and the novels of Kafka, these essays begin with a meditation on suicide--the question of living or not living in a universe devoid of order or meaning. With lyric eloquence, Albert Camus brilliantly presents a crucial exposition of existentialist thought.",459,17.18,,0,English,Paperback,"20.3, 13.5, 1.3",cm,0.16,kg,9780525564454,1,False
"The Nazi and the Psychiatrist: Hermann Göring, dr. Douglas m. Kelley, and a Fatal Meeting of Minds at the end of Wwii  - El-Hai, Jack",C. 1939–c. 1945 (era of the second world war)Biography: generalTrue crimeThe holocaustSecond world war,"Time Period Qualifiers, C 1500 To Present, 20Th Century, Century Xx First Half, C 1940 C 1949, Second World War",Jack El-Hai,72.95,2014.0,"In 1945, after his capture at the end of the Second World War, Hermann Gög arrived at an American-run detention center in war-torn Luxembourg, accompanied by sixteen suitcases and a red hatbox. The suitcases contained all manner of paraphernalia: medals, gems, two cigar cutters, silk underwear, a hot water bottle, and the equivalent of 1 million in cash. Hidden in a coffee can, a set of brass vials housed glass capsules containing a clear liquid and a white precipitate: potassium cyanide. Joining Gög in the detention center were the elite of the captured Nazi regime -- Grand Admiral Döz; armed forces commander Wilhelm Keitel and his deputy Alfred Jodl; the mentally unstable Robert Ley; the suicidal Hans Frank; the pornographic propagandist Julius Streicher -- fifty-two senior Nazis in all, of whom the dominant figure was Gög.  To ensure that the villainous captives were fit for trial at Nuremberg, the US army sent an ambitious army psychiatrist, Captain Douglas M. Kelley, to supervise their mental well-being during their detention. Kelley realized he was being offered the professional opportunity of a lifetime: to discover a distinguishing trait among these arch-criminals that would mark them as psychologically different from the rest of humanity. So began a remarkable relationship between Kelley and his captors, told here for the first time with unique access to Kelley's long-hidden papers and medical records.  Kelley's was a hazardous quest, dangerous because against all his expectations he began to appreciate and understand some of the Nazi captives, none more so than the former Reichsmarshall, Hermann Gög. Evil had its charms.",1658,24.24,,0,English,Paperback,"20.8, 13.7, 2.3",cm,0.29,kg,9781610394635,1,True
The Numerical Discourses of the Buddha: A Complete Translation of the Anguttara Nikaya (Teachings of the Buddha)  - Bhikkhu Bodhi,AsiaAnthologies: general,"Place Qualifiers, Asia",Bhikkhu Bodhi,203.31,2012.0,"Discover with the original teachings of the Buddha in this thorough translation of some of the oldest Buddhist texts in the world.  Like the River Ganges flowing down from the Himalayas, the entire Buddhist tradition flows down to us from the teachings and deeds of the historical Buddha, who lived and taught in India during the fifth century B.C.E. To ensure that his legacy would survive the ravages of time, his direct disciples compiled records of the Buddha's teachings soon after his passing. In the Theravada Buddhist tradition, which prevails in Sri Lanka and Southeast Asia, these records are regarded as the definitive ""word of the Buddha."" Preserved in Pali, an ancient Indian language closely related to the language that the Buddha spoke, this full compilation of texts is known as the Pali Canon.  At the heart of the Buddha's teaching were the suttas (Sanskrit sutras), his discourses and dialogues. If we want to find out what the Buddha himself actually said, these are the most ancient sources available to us. The suttas were compiled into collections called ""Nikayas,"" of which there are four, each organized according to a different principle. The Digha Nikaya consists of longer discourses; the Majjhima Nikaya of middle-length discourses; the Samyutta Nikaya of thematically connected discourses; and the Anguttara Nikaya of numerically patterned discourses.  The Numerical Discourses  contains a full translation of the Anguttara Nikaya. The Anguttara arranges the Buddha's discourses in accordance with a numerical scheme intended to promote retention and easy comprehension. In an age when writing was still in its infancy, this proved to be the most effective way to ensure that the disciples could grasp and replicate the structure of a teaching. Here's what makes the Numerical Discourses special:   Insightful commentary from eminent scholar-monk Bhikkhu Bodhi Its comprehensive translation of the Anguttara Nikaya, part of the Pali Canon Teachings specifically for lay people and families Themes including family life, right livelihood, friendship, and meditation techniques laid out in a carefully organized thematic guide  In 2013, Venerable Bhikkhu Bodhi was awarded the 2013 Khyentse Foundation Prize for Outstanding Translation. Bhikkhu Bodhi's translation and compilation also includes a useful thematic guide to the Anguttara Nikaya, so that readers can browse the volume by topic. Find the teachings to further your practice and bring clarity to your life today by diving into this rich treasure of the Buddhist literary tradition. With this volume, readers can learn about the life of the Buddha, instructions for maintaining a harmonious household, monastic practice and lifestyle, meditation practice, and the Sangha (Buddhist community).",2781,67.55,,0,English,Hardcover,,,,,9781614290407,1,True
"the philosophy of being - Renard, Henri",Anthologies: general,"Biographies Literature Literay Studies, Biographies, Anthologies",Henri Renard,139.91,2010.0,Kessinger Publishing is the place to find hundreds of thousands of rare and hard-to-find books with something of interest for everyone!,135,46.49,,0,English,Paperback,"15.2, 22.9, 1.4",cm,0.37,kg,9781163179185,1,True
"The Pillow Book (Penguin Classics)  - Shonagon, Sei ; McKinney, Meredith ; McKinney, Meredith","JapanBiography: historical, political and militaryDiaries, correspondenceAsian history","Place Qualifiers, Asia, Oriental Lejano Oriente, Japan",Sei Shonagon,56.64,2006.0,"The classic portrayal of court life in tenth-century Japan  Written by the court gentlewoman Sei Shonagon, ostensibly for her own amusement, The Pillow Book offers a fascinating exploration of life among the nobility at the height of the Heian period, describing the exquisite pleasures of a confined world in which poetry, love, fashion, and whim dominated, while harsh reality was kept firmly at a distance. Moving elegantly across a wide range of themes including nature, society, and her own flirtations, Sei Shonagon provides a witty and intimate window on a woman's life at court in classical Japan. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",1083,18.82,,0,English,Paperback,"19.7, 13.1, 2.4",cm,0.3,kg,9780140448061,1,False
The Power Broker: Robert Moses and the Fall of new York - Robert A. Caro,"Biography: historical, political and militaryUrban communitiesPolitical leaders and leadership","Biographies Literature Literay Studies, Biographies, General, Historical Political Military",Robert A. Caro,76.11,1975.0,"PULITZER PRIZE WINNER - A modern American classic, this huge and galvanizing biography of Robert Moses reveals not only the saga of one man's incredible accumulation of power but the story of his shaping (and mis-shaping) of twentieth-century New York.   One of the Modern Library's hundred greatest books of the twentieth century, Robert Caro's monumental book makes public what few outsiders knew: that Robert Moses was the single most powerful man of his time in the City and in the State of New York. And in telling the Moses story, Caro both opens up to an unprecedented degree the way in which politics really happens--the way things really get done in America's City Halls and Statehouses--and brings to light a bonanza of vital information about such national figures as Alfred E. Smith and Franklin D. Roosevelt (and the genesis of their blood feud), about Fiorello La Guardia, John V. Lindsay and Nelson Rockefeller.  But The Power Broker is first and foremost a brilliant multidimensional portrait of a man--an extraordinary man who, denied power within the normal framework of the democratic process, stepped outside that framework to grasp power sufficient to shape a great city and to hold sway over the very texture of millions of lives. We see how Moses began: the handsome, intellectual young heir to the world of Our Crowd, an idealist. How, rebuffed by the entrenched political establishment, he fought for the power to accomplish his ideals. How he first created a miraculous flowering of parks and parkways, playlands and beaches--and then ultimately brought down on the city the smog-choked aridity of our urban landscape, the endless miles of (never sufficient) highway, the hopeless sprawl of Long Island, the massive failures of public housing, and countless other barriers to humane living. How, inevitably, the accumulation of power became an end in itself.  Moses built an empire and lived like an emperor. He was held in fear--his dossiers could disgorge the dark secret of anyone who opposed him. He was, he claimed, above politics, above deals; and through decade after decade, the newspapers and the public believed. Meanwhile, he was developing his public authorities into a fourth branch of government known as ""Triborough""--a government whose records were closed to the public, whose policies and plans were decided not by voters or elected officials but solely by Moses--an immense economic force directing pressure on labor unions, on banks, on all the city's political and economic institutions, and on the press, and on the Church. He doled out millions of dollars' worth of legal fees, insurance commissions, lucrative contracts on the basis of who could best pay him back in the only coin he coveted: power. He dominated the politics and politicians of his time--without ever having been elected to any office. He was, in essence, above our democratic system.  Robert Moses held power in the state for 44 years, through the governorships of Smith, Roosevelt, Lehman, Dewey, Harriman and Rockefeller, and in the city for 34 years, through the mayoralties of La Guardia, O'Dwyer, Impellitteri, Wagner and Lindsay, He personally conceived and carried through public works costing 27 billion dollars--he was undoubtedly America's greatest builder.  This is how he built and dominated New York--before, finally, he was stripped of his reputation (by the press) and his power (by Nelson Rockefeller). But his work, and his will, had been done.",3478,25.29,5.0,3,English,Paperback,"23.4, 15.2, 4.8",cm,1.63,kg,9780394720241,1,True
The Tempest: applause first folio editions - William Shakespeare,ShakespeareClassical and pre-20th century playsClassic fiction,"Interest Qualifiers, Social Culture, Cultural Interests, Shakespeare",William Shakespeare,61.72,2000.0,"If there has ever been a groundbreaking edition that likewise returns the reader to the original Shakespeare text, it will be THE APPLAUSE FOLIO TEXTS. If there has ever been an accessible version of the Folio, it is this edition, set for the first time in modern fonts. The Folio is the source of all other editions. The Folio text forces us to re-examine the assumptions and prejudices which have encumbered over four hundred years of scholarship and performance. Notes refer the reader to subsequent editorial interventions, and offer the reader a multiplicity of interpretations. Notes also advise the reader on variations between Folios and Quartos. Prepared and annotated by Neil Freeman, Head, Graduate Directing Program, University of British Columbia.",760,20.51,,0,English,Paperback,"23.4, 15.4, 1.3",cm,0.31,kg,9781557832955,1,False
The Year of Magical Thinking  - Joan Didion,Biography: writersMemoirsGender studies: women and girls,"Biographies Literature Literay Studies, Biographies, General, Writers",Joan Didion,48.82,2007.0,"NEW YORK TIMES BESTSELLER - NATIONAL BOOK AWARD WINNER - From one of America's iconic writers, a stunning book of electric honesty and passion that explores an intensely personal yet universal experience: a portrait of a marriage--and a life, in good times and bad--that will speak to anyone who has ever loved a husband or wife or child. Several days before Christmas 2003, John Gregory Dunne and Joan Didion saw their only daughter, Quintana, fall ill with what seemed at first flu, then pneumonia, then complete septic shock. She was put into an induced coma and placed on life support. Days later--the night before New Year's Eve--the Dunnes were just sitting down to dinner after visiting the hospital when John Gregory Dunne suffered a massive and fatal coronary. In a second, this close, symbiotic partnership of forty years was over. Four weeks later, their daughter pulled through. Two months after that, arriving at LAX, she collapsed and underwent six hours of brain surgery at UCLA Medical Center to relieve a massive hematoma. This powerful book is Didion' s attempt to make sense of the ""weeks and then months that cut loose any fixed idea I ever had about death, about illness ... about marriage and children and memory ... about the shallowness of sanity, about life itself.",1290,16.22,,0,English,Paperback,"20.2, 13.3, 1.7",cm,0.23,kg,9781400078431,1,False
"Tihkal: The Continuation  - Shulgin, Alexander ; Shulgin, Ann","Biography: science, technology and medicinePopular cultureBiochemistry","Biographies Literature Literay Studies, Biographies, General, Science Technology Medicine",Alexander ShulginAnn Shulgin,98.63,1997.0,"TiHKAL: The Continuation is the sequel to PiHKAL: A Chemical Love Story but can stand alone to any reader. Where PiHKAL focuses on a class of compounds called phenethylamines, TiHKAL is written about a family of psychoactive drugs known as tryptamines with TiHKAL being an acronym for ""Tryptamines I Have Known and Loved"". Like its predecessor PiHKAL, it is divided into two parts. The first part of the book begins with the story of Alice and Shura, a fictionalized autobiography, which picks up where the similar section of PiHKAL left off. The book opens with the story about the DEA raid that occurred a few years after the publication of their first book, PiHKAL. It's a window into the DEA, the institutional aspect and human side of it as well, and the price that Shura and Alice pay for doing what they do, including exercising their first amendment rights. It then continues with a collection of essays on topics ranging from psychotherapy and the Jungian mind, to the prevalence of DMT in nature, ayahuasca, the War on Drugs, and even the Big Bang. It is a blend of travel, botanical facts, scientific speculation, psychological and political commentary. It is fascinating getting to know the mind of the man behind the compounds - his thoughts on science, technology, law, and society. And the mind of the woman who brought his work and their story into the light of the world. The second part of TiHKAL is ""The Chemistry Continues"". It is a detailed manual for 55 psychedelic compounds (many discovered by Shulgin himself). For each compound there is information on synthesis, effective dosage, duration of effects, and commentary on the subjective effects that were experienced. The Shulgins' two big books span autobiography, organic chemistry, politics, ethnobotany and psychopharmacology and the cultural impact of these works has been profound and will continue to be so in the future.",1902,32.77,5.0,2,English,Paperback,"22.9, 15.2, 3.8",cm,1.09,kg,9780963009692,1,True
"Useless Magic: Lyrics and Poetry  - Welch, Florence","Composers and songwritersMusicians, singers, bands and groupsScores, lyrics and librettiPoetryBiography: arts and entertainment","Arts, Music, Composers",Florence Welch,96.08,2018.0,"Lyrics and never-before-seen poetry and sketches from the iconic musician of Florence and the Machine Songs can be incredibly prophetic, like subconscious warnings or messages to myself, but I often don't know what I'm trying to say till years later. Or a prediction comes true and I couldn't do anything to stop it, so it seems like a kind of useless magic.",358,31.93,5.0,12,English,Hardcover,"21.8, 17.5, 2.8",cm,0.82,kg,9780525577157,1,True
"what remains,a memoir of fate, friendship, and love - Radziwill, Carole",Biography: arts and entertainmentMemoirsGender studies: women and girls,"Biographies Literature Literay Studies, Biographies, General, Art Show",Carole Radziwill,71.5,,"A stunning, tragic memoir about John F. Kennedy Jr., his wife Carolyn Bessette, and his cousin Anthony Radziwill, by Radziwill's widow. What Remains is a vivid and haunting memoir about a girl from a working-class town who becomes an award-winning television producer and marries a prince, Anthony Radziwill. Carole grew up in a small suburb with a large, eccentric cast of characters. At nineteen, she struck out for New York City to find a different life. Her career at ABC News led her to the refugee camps of Cambodia, to a bunker in Tel Aviv, and to the scene of the Menendez murders. Her marriage led her into the old world of European nobility and the newer world of American aristocracy. What Remains begins with loss and returns to loss. A small plane plunges into the ocean carrying John F. Kennedy Jr., Anthony's cousin, and Carolyn Bessette Kennedy, Carole's closest friend. Three weeks later Anthony dies of cancer. With unflinching honesty and a journalist's keen eye, Carole Radziwill explores the enduring ties of family, the complexities of marriage, the importance of friendship, and the challenges of self-invention. Beautifully written, What Remains ""gets at the essence of what matters,"" wrote Oprah Winfrey. ""Friendship, compassion, destiny.""",1264,23.76,,0,English,Paperback,"21.3, 16.1, 1.5",cm,0.25,kg,9780743277181,1,True
